ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
GB00BYZN9041	GBX	220	201	43705	40957	4280.974716851619	4524.257147740313	187100000	185300000
IL0010849045	GBX	62	78	451727	478384	7.393846283264007	7.023646275795177	3340000	3360000
GB0000667013	GBX	99	92	24814	22884	3935.2784718304183	4175.406397482958	97650000	95550000
FR0010361683	EUR	24	8	9528	3176	262.30058774139377	782.3992443324937	2499200	2484900
FR0010869578	EUR	0	34	0	1496	0	2406.4171122994653	0	3600000
LU0252633754	EUR	34	34	13600	10015	943.9705882352941	1274.0888666999501	12838000	12760000
LU1681047236	EUR	34	34	74800	74800	120.36096256684492	121.1096256684492	9003000	9059000
LU1834983550	EUR	18	22	2052	2508	4319.736842105263	3472.2089314194577	8864100	8708300
LU1829219390	EUR	33	33	6600	6600	1321.0454545454545	1310.7727272727273	8718900	8651100
FR0010405431	EUR	1	4	10728	42912	8.80965697240865	2.207774049217002	94510	94740
FR0010869495	EUR	34	34	1081200	1081200	0.14842767295597484	0.1471698113207547	160480	159120
FR0010655712	EUR	8	14	320	560	77578.125	44330.357142857145	24825000	24825000
GB00B635TG28	GBX	189	229	2493994	3207127	1.1387356986424186	0.8652604028465353	2840000	2775000
CH0100191136	CHF	16	19	364654	503318	0.009652986118347804	0.006953854223373693	3520	3500
CH0008038389	CHF	371	397	26170	40479	341.9946503630111	218.50836236073025	8950000	8845000
CH0024608827	CHF	1075	812	6898	3963	15076.833864888373	26015.644713600806	104000000	103100000
CH0276837694	CHF	266	231	73740	69002	22.321670735014916	23.59351902843396	1646000	1628000
CH0108503795	CHF	295	236	3117824	1873686	0.01850649683882092	0.03050137536385499	57700	57150
CH0010570767	CHF	333	306	889	894	1199100.1124859392	1167785.2348993288	1066000000	1044000000
CH0012268360	CHF	102	134	158345	189855	1.7840790678581577	1.522214321455848	282500	289000
CH0011339204	CHF	191	288	64397	96365	11.848378030032455	7.648004981061589	763000	737000
GB0009292243	GBX	214	163	31644	32505	5941.094678296044	5756.037532687279	188000000	187100000
GB0009039941	GBX	191	106	247182	230881	39.485075774125946	41.081769396355696	9760000	9485000
GB0004726096	GBX	171	176	180972	174581	152.06772318369693	155.57248497831952	27520000	27160000
IE00B1RR8406	GBX	1381	1226	193795	152714	1660.5175572125183	2068.5726259543985	321800000	315900000
GB00B572ZV91	GBX	104	128	1021208	1071340	2.4382887717291677	2.2775216084529655	2490000	2440000
GB0007990962	GBX	143	128	63862	65493	760.0764147693465	728.6274869069977	48540000	47720000
AU000000S320	GBX	116	178	214144	213367	110.67319187089062	110.13886870978173	23700000	23500000
GB00B082RF11	GBX	961	929	503213	459804	106.078340583411	115.52748562430949	53380000	53120000
GB00BVFNZH21	GBX	247	247	188220	251454	141.21772394007013	104.67123211402483	26580000	26320000
GB00B0WMWD03	GBX	279	290	219164	225401	167.08948549944333	159.18296724504327	36620000	35880000
IM00B7S9G985	GBX	145	121	66809	113115	725.6507356793246	421.5179242363966	48480000	47680000
GB00B7N0K053	GBX	85	125	211470	210905	55.23242067432733	55.285555107749936	11680000	11660000
GB00B3MBS747	GBX	1339	1140	343940	295503	272.7219863929755	311.87500634511326	93800000	92160000
GB00B17BBQ50	GBX	254	254	161043	159067	291.2886620343635	289.3120508967919	46910000	46020000
GB00B06QFB75	GBX	264	266	132017	130286	635.9029518925593	638.9788618884608	83950000	83250000
GB00BYT1DJ19	GBX	1000	898	170037	138056	919.7998082770221	1113.3163354001274	156400000	153700000
GB0005576813	GBX	974	1066	337631	387954	201.04788955990415	173.31951726235584	67880000	67240000
GB0004478896	GBX	143	199	148272	218692	155.12031941297076	104.02758217035831	23000000	22750000
GB0004052071	GBX	873	886	113938	117221	1999.3329705629378	1919.4512928570819	227800000	225000000
GB0004161021	GBX	757	249	848352	567119	14.722662291124438	21.864899606608137	12490000	12400000
GB00B63QSB39	GBX	265	214	51137	42647	4071.4160001564424	4863.179121626375	208200000	207400000
IE0003864109	GBX	131	174	303258	323116	33.37092508688971	31.134329466816872	10120000	10060000
JE00B55Q3P39	GBX	170	155	287575	245212	48.682952273320005	56.52251928943119	14000000	13860000
GB0003452173	GBX	254	244	424803	611145	30.531799445860788	20.960655818177354	12970000	12810000
GB00B0744359	GBX	181	157	147021	132329	168.68338536671632	184.01106333456764	24800000	24350000
GB0006886666	GBX	269	141	143050	47683	1016.4278224397063	3049.3047836755236	145400000	145400000
GB00BYN59130	GBX	168	150	119675	142045	229.45477334447463	192.75581681861382	27460000	27380000
GB00BD6GN030	GBX	223	352	279974	407992	56.648117325180195	38.66497382301614	15860000	15775000
GB00B8VZXT93	GBX	156	141	90553	99944	308.3277196779786	276.15464660209716	27920000	27600000
GB00B15FWH70	GBX	134	151	2097656	1518735	1.020663063915151	1.359025768155735	2141000	2064000
JE00B5TT1872	GBX	103	202	397823	539098	23.93024033301242	17.098931919613875	9520000	9218000
GB0007668071	GBX	181	205	51605	47500	2218.777250266447	2397.8947368421054	114500000	113900000
GB0001859296	GBX	259	191	90161	82024	1004.3145040538592	1093.5823661367406	90550000	89700000
GB00B0N8QD54	GBX	222	170	107599	68226	800.6579986802851	1248.7907835722451	86150000	85200000
GB00B11V7W98	GBX	100	135	17078	30151	5855.486590935707	3316.639580776757	100000000	100000000
FI0009003230	EUR	33	0	2308746	0	0.016892286981764128	0	39000	0
DE0007664005	EUR	0	34	0	3536	0	6891.968325791855	0	24370000
DE000SHA0159	EUR	68	0	10982	0	45.98433800764888	0	505000	0
DE0006204407	EUR	0	34	0	374	0	23930.48128342246	0	8950000
DE000A0LD2U1	EUR	34	0	1887	0	651.8282988871224	0	1230000	0
ES0105066007	EUR	0	34	0	170	0	32705.882352941175	0	5560000
DE000A1ML7J1	EUR	0	68	0	986	0	3896.551724137931	0	3842000
AT0000A18XM4	CHF	242	304	119792	199897	7.003806598103379	4.083102797940939	839000	816200
CH0023405456	CHF	349	287	32959	48789	124.48800024272582	82.94902539506856	4103000	4047000
GB00B61TVQ02	GBX	260	302	82100	71050	1013.3982947624847	1165.3764954257565	83200000	82800000
BMG396372051	NOK	108	48	81600	36000	134.25245098039215	302.0833333333333	10955000	10875000
FI4000074984	EUR	33	0	957	0	2089.864158829676	0	2000000	0
GB00BRS65X63	GBX	326	274	267566	237437	114.43905428940897	127.61279834229711	30620000	30300000
DE000TUAG000	GBX	186	164	489421	440694	31.629210843016544	34.218754963761704	15480000	15080000
CH0244767585	CHF	1427	1242	815206	631076	1.9761876139282586	2.5432752948931667	1611000	1605000
BE0974268972	EUR	0	34	0	4250	0	209.41176470588235	0	890000
GB0003385308	GBX	266	240	31981	29278	10740.752321691005	11664.048090716578	343500000	341500000
GB00B67G5X01	GBX	158	175	61502	54919	968.261194757894	1068.8468471749304	59550000	58700000
JE00BN574F90	GBX	220	131	41601	20242	5653.7102473498235	11436.616935085465	235200000	231500000
GB00B82YXW83	GBX	119	134	82230	64837	434.8777818314484	547.2184092416367	35760000	35480000
GB00B8SC6K54	GBX	150	122	619036	546729	26.18587610413611	29.612477113890062	16210000	16190000
GB00B19Z2J52	GBX	185	152	763182	627226	10.207263798150375	12.228447162585734	7790000	7670000
GB0009064097	GBX	218	184	180591	128903	227.8629610556451	313.8018510042435	41150000	40450000
GG00BBHX2H91	GBX	224	156	656107	858120	21.825708306724362	16.734256281172797	14320000	14360000
GB0008794710	GBX	175	147	20805	20377	10237.923576063446	10379.349266329686	213000000	211500000
GB0001048619	GBX	166	135	1327654	417543	6.703553787357248	20.93197586835368	8900000	8740000
GB0009887422	GBX	272	199	181393	184496	115.77072985175833	111.98074755008238	21000000	20660000
GB00B135BJ46	GBX	226	207	42768	42258	2478.488589599701	2413.744143120829	106000000	102000000
GB00BNLPYF73	GBX	169	183	313951	145010	77.08209242843628	165.85063099096615	24200000	24050000
GB0007958233	GBX	159	170	198913	207913	73.7005625575	69.93309701654057	14660000	14540000
GB0008025412	GBX	189	131	766789	680987	4.421033687233385	4.9046457568206145	3390000	3340000
GB00B60BD277	GBX	122	106	168426	178858	82.17258618028096	75.8143331581478	13840000	13560000
GB00BYZDVK82	GBX	232	194	53226	49730	2684.778115958366	2861.4518399356525	142900000	142300000
GB0007826091	GBX	186	148	82098	40270	1093.8147092499207	2229.9478519990066	89800000	89800000
GB00B1N7Z094	GBX	260	180	61040	50834	1908.5845347313236	2242.5935397568555	116500000	114000000
GB0007323586	GBX	225	167	10719	11958	39276.05187051031	34788.42615822044	421000000	416000000
GG00BBHXCL35	GBX	96	313	70633	138985	934.407429954837	482.0664100442494	66000000	67000000
GB00B1L5QH97	GBX	78	193	206234	342986	42.669976822444404	25.744491028788346	8800000	8830000
GB0007366395	GBX	180	188	33355	41437	7510.118423025034	6021.188792624948	250500000	249500000
GB0002148343	GBX	215	128	19408	19956	9738.252267106347	9330.527159751453	189000000	186200000
GB00B19Z1432	GBX	188	152	191098	163324	110.93784341018744	129.49719575812495	21200000	21150000
GB00BKRC5K31	GBX	156	171	83113	70730	507.7424710935714	590.9797822706065	42200000	41800000
GB00BJ62K685	GBX	188	206	142371	114059	249.20805501120313	304.5792090058654	35480000	34740000
GB0004220025	GBX	354	211	83737	50426	2663.0999438718845	4303.335580851148	223000000	217000000
GB00B02QND93	GBX	131	132	54825	74971	1092.5672594619243	792.306358458604	59900000	59400000
GB00B2NGPM57	GBX	166	291	80765	82227	716.2756144369467	693.8110353047052	57850000	57050000
GB00BD7XPJ64	GBX	93	143	277358	369471	32.05243764376726	23.601311063655874	8890000	8720000
GB0006215205	GBX	183	200	246596	223402	77.29241350224659	83.92941871603657	19060000	18750000
GG00B3KX4Q34	GBX	10	0	7130	0	1141.6549789621317	0	8140000	0
GB0006111909	GBX	201	167	67596	49923	1869.9331321379964	2511.868277146806	126400000	125400000
GB00BZ6STL67	GBX	144	193	414665	592702	21.414877069441598	14.948490135008823	8880000	8860000
GB0004657408	GBX	155	133	349845	355121	22.552844831282425	22.1614604599559	7890000	7870000
GB00B012BV22	GBX	113	116	43683	51612	1091.9579699196483	918.778578625126	47700000	47420000
GB00B1ZBKY84	GBX	220	198	221761	237652	98.39421719779402	90.55257266928113	21820000	21520000
GB0030517261	GBX	55	118	18441	22441	5861.938072772627	4768.058464417807	108100000	107000000
GB0006027295	GBX	237	151	122556	107219	248.86582460263062	281.66649567707213	30500000	30200000
GB00B1JQDM80	GBX	129	107	551534	676368	8.790029263835049	7.0316750644619495	4848000	4756000
GB00B1FP6H53	GBX	89	94	114098	98395	167.83817420112536	192.69271812592103	19150000	18960000
BMG5361W1047	GBX	167	145	78193	77889	615.6561329019222	612.1531923634916	48140000	47680000
GB00B4WFW713	GBX	319	212	476857	378559	51.62973386151404	63.9794589482749	24620000	24220000
GB0004866223	GBX	206	205	35663	48702	2187.140734094159	1583.097203400271	78000000	77100000
GB00B53P2009	GBX	186	122	237320	237128	50.691050058992076	49.71998245673223	12030000	11790000
GB00BCRX1J15	GBX	174	158	453647	294508	17.138876703692517	25.78877314028821	7775000	7595000
GB0003450359	GBX	185	178	82780	70606	973.6651365064025	1144.3786647027164	80600000	80800000
GB0001638955	GBX	119	145	42938	58587	1377.567655689599	986.5669858501033	59150000	57800000
GB00BKZGVH64	GBX	150	209	120613	74684	648.3546549708572	1039.0445075250389	78200000	77600000
GB00B128J450	GBX	135	172	336478	515222	24.474111234612664	15.905764893579855	8235000	8195000
GB00B188SR50	GBX	169	200	864262	984891	19.484832145807637	17.078031985265376	16840000	16820000
GB00BYXJC278	GBX	197	287	147730	177826	138.6312868070128	114.60641301047092	20480000	20380000
GG00BR30MJ80	GBX	200	227	30576	48573	7931.057038199895	4941.016614168365	242500000	240000000
GB00BYYTFB60	GBX	368	251	276241	103750	428.61124887326645	1139.2771084337348	118400000	118200000
GB00B1FW5029	GBX	125	135	477488	483445	17.623479542941393	17.08570778475318	8415000	8260000
GB0004270301	GBX	205	100	24193	21141	5166.783780432356	5808.618324582565	125000000	122800000
GB00B012TP20	GBX	175	80	206770	119338	81.49151230836195	138.430340712933	16850000	16520000
GB00B04V1276	GBX	143	156	113665	125759	259.88650859983284	232.03110711758205	29540000	29180000
GB0003753778	GBX	230	189	96206	62224	1592.4162734133006	2465.2867060941117	153200000	153400000
GB0002074580	GBX	332	181	33222	20072	8247.546806333152	13332.004782781985	274000000	267600000
JE00B6173J15	GBX	131	185	328571	442457	34.20874027226992	25.358396409142582	11240000	11220000
GB00B1XH2C03	GBX	249	191	412537	283815	35.07564170001721	49.71548367774783	14470000	14110000
GB0003395000	GBX	49	2	23743	715	1516.2363644021395	50419.58041958042	36000000	36050000
GB0003466074	GBX	73	86	23898	30617	3803.6655787095156	2968.9388248358755	90900000	90900000
GB0007816068	GBX	183	189	84166	82935	1021.7902716061118	1036.9566528003859	86000000	86000000
GB00BK1PKQ95	GBX	153	138	224205	179706	134.47514551415	167.21756646967825	30150000	30050000
GB00B62Z3C74	GBX	158	266	194534	267992	124.65687232051981	90.48777575450013	24250000	24250000
GG00B4ZPCJ00	GBX	148	241	568426	735386	20.231305394193793	15.610849268275436	11500000	11480000
GB0002418548	GBX	114	76	204009	167257	58.23272502683705	69.47392336344667	11880000	11620000
GB0003052338	GBX	152	160	91903	92309	670.2719171300175	668.4071975647012	61600000	61700000
GB0003096442	GBX	525	649	140227	226575	783.7292390195896	481.07690610173233	109900000	109000000
GB00BRB37M78	GBX	158	69	41687	42667	1085.4702904982369	1061.7104553870672	45250000	45300000
GB00B1VNSX38	GBX	207	210	88640	91621	825.8122743682311	775.4772377511706	73200000	71050000
GB0001826634	GBX	250	200	30614	29304	8839.093225321749	9179.63417963418	270600000	269000000
GB0009633180	GBX	660	743	51881	60028	6958.231337098359	5873.9255014326645	361000000	352600000
GB00B1CKQ739	GBX	172	164	60830	54160	1363.6363636363637	1513.109305760709	82950000	81950000
GB0002318888	GBX	127	149	12501	13038	26269.89840812735	25003.834944009817	328400000	326000000
GB0001990497	GBX	261	201	193758	217126	212.89443532654136	189.5212917844938	41250000	41150000
GB00BYPHNG03	GBX	224	163	203552	168801	141.88020751454175	169.07482775575974	28880000	28540000
GB00B14SKR37	GBX	169	72	134454	76174	195.97780653606438	331.47793210281725	26350000	25250000
GB00BF044593	GBX	247	242	195824	169512	108.26047879728736	123.8850346878097	21200000	21000000
GB0001639920	GBX	79	146	8833	13412	42963.88542963885	28258.276170593497	379500000	379000000
GB0002018363	GBX	156	147	14850	10158	24579.12457912458	35292.38038984052	365000000	358500000
GB00BV9FP302	GBX	193	194	15547	20693	16659.162539396668	12477.649446672787	259000000	258200000
GB00BLY2F708	GBX	52	135	365292	600603	13.85193215290781	8.283341908049078	5060000	4975000
GB0002869419	GBX	196	167	41082	46113	3446.7650065722214	3018.6715242990044	141600000	139200000
GB0001765816	GBX	231	294	1477282	2019112	34.72593587412559	25.407208713533475	51300000	51300000
GB00B3FLWH99	GBX	224	154	90138	69719	680.6230446648473	875.6579985369842	61350000	61050000
GG00B1NP5142	GBX	124	125	14702	9944	30778.12542511223	45353.982300884956	452500000	451000000
GB0000961622	GBX	101	101	133558	85950	215.4869045658066	330.42466550319955	28780000	28400000
GB00BG49KP99	GBX	358	265	686272	561358	28.1229599925394	33.91774945756541	19300000	19040000
GB00B6XZKY75	GBX	135	165	51497	71928	1050.5466337844923	741.0187965743521	54100000	53300000
GB00BBG9VN75	GBX	799	609	81637	67022	3009.6647353528424	3625.6751514428097	245700000	243000000
GB0000066554	GBX	190	245	43192	63649	2926.467864419337	1985.8913729987903	126400000	126400000
GB00BYM8GJ06	GBX	191	160	138303	134618	185.24543936140213	186.3049517895081	25620000	25080000
GB00BJTNFH41	GBX	111	94	619805	481784	6.660159243633078	8.310778274081331	4128000	4004000
GB00BVGBWW93	GBX	197	202	812853	881610	8.654701403574816	7.900318735041572	7035000	6965000
DE000ZAL1111	EUR	34	34	272	1802	7352.941176470588	1886.7924528301887	2000000	3400000
DE000WCH8881	EUR	0	34	0	4148	0	4327.3866923818705	0	17950000
DE000SYM9999	EUR	34	0	408	0	22058.823529411766	0	9000000	0
LU0061462528	EUR	0	34	0	272	0	18658.08823529412	0	5075000
DE000A0D9PT0	EUR	0	34	0	238	0	84873.94957983193	0	20200000
DE0006335003	EUR	0	34	0	204	0	54362.74509803922	0	11090000
DE0008402215	EUR	34	68	612	510	21405.228758169935	33725.490196078434	13100000	17200000
DE0005909006	EUR	34	0	272	0	9191.176470588236	0	2500000	0
DE0006602006	EUR	0	34	0	204	0	21078.43137254902	0	4300000
DE0005773303	EUR	0	34	0	6936	0	717.2722029988466	0	4975000
DE0005408116	EUR	34	34	2618	578	1071.8105423987777	6716.262975778547	2806000	3882000
NL0000235190	EUR	0	102	0	748	0	16042.7807486631	0	12000000
FR0000124570	EUR	0	34	0	1462	0	1641.5868673050616	0	2400000
FR0010259150	EUR	0	34	0	272	0	47794.117647058825	0	13000000
FR0000121329	EUR	0	34	0	204	0	62205.882352941175	0	12690000
FR0000130452	EUR	34	0	306	0	22875.816993464054	0	7000000	0
CH0012255144	CHF	324	406	29951	30585	155.7210109846082	149.223475559915	4664000	4564000
CH0024638212	CHF	259	466	8479	18971	2122.891850454063	925.6233198039113	18000000	17560000
CH0018294154	CHF	371	237	21291	12665	553.7551077920248	926.9640742202921	11790000	11740000
CH0010570759	CHF	167	137	167	140	65449101.796407185	76642857.14285715	10930000000	10730000000
IE0002424939	GBX	743	851	34949	38135	15296.575009299264	13934.705650976794	534600000	531400000
GB00B1Z4ST84	GBX	135	137	109047	117052	175.06212917365906	161.637562792605	19090000	18920000
FO0000000179	NOK	7	7	665	665	93007.51879699249	93007.51879699249	61850000	61850000
DE0007030009	EUR	0	68	0	952	0	21155.462184873948	0	20140000
DE0005408884	EUR	34	0	2108	0	310.72106261859585	0	655000	0
DE0002635307	EUR	0	8	0	96	0	45791.666666666664	0	4396000
DE0005933931	EUR	244	34	182516	12916	63.76427272129567	896.4075565190461	11638000	11578000
DE000ETFL011	EUR	32	31	12800	12400	962.5	988.0645161290323	12320000	12252000
LU0274211480	EUR	67	66	13506	13004	973.197097586258	1004.4601661027376	13144000	13062000
GB00BDVZYZ77	GBX	287	294	372698	331212	72.2837256974816	80.49225269615835	26940000	26660000
IE0001827041	GBX	1840	1928	177438	195503	1828.2442317880048	1647.0335493572989	324400000	322000000
CH0011075394	CHF	1587	1448	28648	28862	1548.799218095504	1524.8423532672718	44370000	44010000
JE00B8KF9B49	GBX	1327	1334	428220	428928	191.49035542478165	189.44904506117578	82000000	81260000
GB00BM8B5H06	GBX	55	100	11569	33807	4271.760739908375	1460.6442452746473	49420000	49380000
GB00BN7SWP63	GBX	2186	1907	548552	537180	267.9782408960317	265.5348300383484	147000000	142640000
GB00BMX86B70	GBX	1048	883	952069	784637	28.747916380010274	33.544173930110354	27370000	26320000
FR001400AJ45	EUR	0	34	0	1020	0	2843.1372549019607	0	2900000
GB00B1KJJ408	GBX	910	973	87410	109066	3085.459329596156	2440.723965305411	269700000	266200000
GB0009465807	GBX	192	250	43209	45390	3863.77837950427	3630.755673055739	166950000	164800000
GB00BNHSJN34	GBX	265	225	519803	487815	22.17186126282457	23.195268698174512	11525000	11315000
FI0009003727	EUR	0	33	0	5181	0	175.6417679984559	0	910000
GB00BPQY8M80	GBX	1343	1404	729157	738672	64.44428291849354	62.950809019429464	46990000	46500000
DE0007664039	EUR	374	136	80138	7752	177.19433976390727	2102.6831785345717	14200000	16300000
GB00BH4HKS39	GBX	2023	2266	4667834	4874270	2.6106326831673963	2.4738063340766927	12186000	12058000
ES0143416115	EUR	0	34	0	204	0	9656.862745098038	0	1970000
FR0000125486	EUR	0	34	0	272	0	38602.94117647059	0	10500000
GG00B28C2R28	EUR	72	103	55724	21058	20.727155265235805	55.7982714407826	1155000	1175000
GG00B1YQ7219	USD	83	63	23923	22119	92.37971826275968	101.27040101270401	2210000	2240000
IE00B66F4759	EUR	24	18	2458	788	3802.278275020342	11805.837563451776	9346000	9303000
NL0010733960	CHF	224	193	30361	27127	75.59039557326834	82.94319312861724	2295000	2250000
GB00B39J2M42	GBX	875	808	224804	222458	499.546271418658	500.3191613697867	112300000	111300000
GB00B10RZP78	GBX	1861	2320	328250	369400	1191.7745620715918	1052.1115322144017	391200000	388650000
GB0001500809	GBX	223	273	1194686	1182033	4.369348933527303	4.34421035622525	5220000	5135000
FR0000120271	EUR	34	68	544	1020	8823.529411764706	5686.274509803921	4800000	5800000
DE0007500001	EUR	83	0	2380	0	210.08403361344537	0	500000	0
NL0014559478	EUR	0	3	0	250	0	4996.0	0	1249000
ES0178430E18	EUR	204	136	28288	8908	14.14027149321267	53.88414907947912	400000	480000
GB0008782301	GBX	909	903	1912187	2015585	6.521328719419178	6.142137394354493	12470000	12380000
AN8068571086	EUR	52	31	15034	10600	238.7920713050419	334.9056603773585	3590000	3550000
CH0008742519	CHF	819	1048	6907	10458	7378.022296221225	4825.014343086632	50960000	50460000
CH0126881561	CHF	1532	1219	101894	60320	75.13690698176536	125.79575596816976	7656000	7588000
CH0014852781	CHF	996	878	9732	7492	5435.676120016441	7015.483182060865	52900000	52560000
CH0012255151	CHF	215	334	5865	7193	4334.185848252345	3465.869595440011	25420000	24930000
FI0009005961	EUR	33	0	957	0	1515.1515151515152	0	1450000	0
NL0000226223	EUR	0	34	0	476	0	8802.52100840336	0	4190000
GB0004082847	GBX	1385	1191	1121686	577414	54.328929843111176	104.39649887255938	60940000	60280000
GB0007669376	GBX	857	864	184200	186682	686.7535287730727	673.6053824150159	126500000	125750000
GB0007908733	GBX	1311	1122	217830	180350	824.4961667355277	985.5835874688106	179600000	177750000
GB00B1QH8P22	GBX	175	192	73468	67895	1220.2591604508086	1302.0104573238089	89650000	88400000
BE0003470755	EUR	34	0	306	0	26143.7908496732	0	8000000	0
FR0000130809	EUR	34	0	1258	0	1828.2988871224165	0	2300000	0
GB00B1WY2338	GBX	1005	986	162249	153131	963.3341345709373	1016.4499676747361	156300000	155650000
GB0009223206	GBX	853	892	222452	219418	479.42927013468073	481.72893746183087	106650000	105700000
DE0005659700	EUR	68	0	211718	0	14.736583568709321	0	3120000	0
DE0007236101	EUR	102	0	4590	0	2352.9411764705883	0	10800000	0
CH0002497458	CHF	821	950	2128	2896	106578.94736842105	77727.90055248619	226800000	225100000
GB00B1FH8J72	GBX	963	894	74154	76326	4022.7094964533267	3884.652674056023	298300000	296500000
BE0003604155	EUR	0	1	0	2	0	274500000.0	0	549000000
ANN4327C1220	EUR	0	34	0	2998	0	5837.2248165443625	0	17500000
LU0686550053	GBX	0	1	0	260	0	67000.0	0	17420000
JE00BF4X3P53	GBX	239	190	56316	45472	1351.303359613609	1636.1717100633357	76100000	74400000
JE00B1GXH751	GBX	162	211	137819	153867	204.2534048280716	181.9753423411128	28150000	28000000
IE0032077012	GBX	56	54	11016	10800	246459.69498910676	247611.11111111112	2715000000	2674200000
GG00BJ0JVY01	GBX	108	192	562856	1012718	21.035575706752706	11.711058754757001	11840000	11860000
GG00BB0RDB98	GBX	120	184	703236	1002649	19.125869551615676	13.464332981930864	13450000	13500000
GG00B1ZBD492	GBX	207	225	48646	42909	3206.841261357563	3635.6009228833113	156000000	156000000
GB00BZC0LP49	GBX	86	93	188878	199914	54.003113120638716	49.2711866102424	10200000	9850000
GB00BZBX0P70	GBX	265	251	237989	247663	73.3647353449109	69.20694653622058	17460000	17140000
GB0002405495	GBX	768	625	81058	65016	3720.7925189370576	4605.020302694721	301600000	299400000
GB00BNXM7M46	GBX	68	209	1555515	1629631	0.7354477456019389	0.6639539871296017	1144000	1082000
FR0000121972	EUR	1	0	158	0	85240.50632911392	0	13468000	0
GB00BNXGHS27	GBX	46	22	4792	23354	2587.646076794658	537.3811766720904	12400000	12550000
GB00BNGMZB68	GBX	1	3	243	15000	32098.765432098764	526.6666666666666	7800000	7900000
GB00BN3ZZ526	GBX	262	121	98048	73730	407.45349216710184	534.3822053438221	39950000	39400000
GB00BMCF8689	GBX	34	34	8732	5100	1677.7370590929913	2892.156862745098	14650000	14750000
GB00BMC7T380	GBX	166	211	476952	561250	19.981046310739863	16.979955456570156	9530000	9530000
GB00BM8H3X05	GBX	203	234	361507	285991	38.45015449216751	48.532995793573924	13900000	13880000
GB00BLSNND18	GBX	230	251	47846	46789	2466.2458721732223	2532.6465622261644	118000000	118500000
GB00BL6C2002	GBX	143	126	611631	187211	22.055781999277343	70.82917136279386	13490000	13260000
GB00BKS7YK08	GBX	3	0	183	0	438251.3661202186	0	80200000	0
GB00BKP36R26	GBX	114	74	343229	277127	21.530814703885746	26.522136060362218	7390000	7350000
GB00BK96BB68	GBX	150	146	95155	182186	252.7455204666071	132.2823927195284	24050000	24100000
GB00BJP5HK17	GBX	255	220	891362	680328	13.484981410470718	17.40337013910937	12020000	11840000
GB00BJL5F346	GBX	116	140	85097	87984	486.50363702598213	464.8572467721404	41400000	40900000
GB00BJGTLF51	GBX	141	130	433814	420111	26.27854333885029	27.088079102903755	11400000	11380000
